acceleration,angular_velocity
-0.0105463,-8.25833e-07
-0.0105251,-1.10063e-06
-0.0105039,-9.10247e-07
-0.0104828,-9.34925e-07
-0.0104617,-8.11735e-07
-0.0104406,-7.8161e-07
-0.0104196,-7.00335e-07
-0.0103987,-6.58142e-07
-0.0103777,-5.99203e-07
-0.0103569,-5.57684e-07
-0.010336,-5.11973e-07
-0.0103152,-4.74958e-07
-0.0102945,-4.38181e-07
-0.0102738,-4.06427e-07
-0.0102531,-3.76308e-07
-0.0102325,-3.4953e-07
-0.0102119,-3.24671e-07
-0.0101913,-3.0228e-07
-0.0101708,-2.8171e-07
-0.0101503,-2.63082e-07
-0.0101299,-2.46064e-07
-0.0101095,-2.3063e-07
-0.0100892,-2.16581e-07
-0.0100689,-4.14788e-07
-0.0100486,-4.86766e-07
-0.0100284,-5.83002e-07
-0.0100082,-6.18163e-07
-0.0099881,-6.52773e-07
-0.00996801,-6.55706e-07
-0.00994795,-6.52036e-07
-0.00992793,-6.31071e-07
-0.00990795,-6.03698e-07
-0.00988801,-5.66743e-07
-0.00986812,-5.25252e-07
-0.00984826,-4.78673e-07
-0.00982844,-4.29532e-07
-0.00980867,-3.78078e-07
-0.00978893,-3.25671e-07
-0.00976923,-2.72714e-07
-0.00974957,-2.19981e-07
-0.0138323,-0.000548224
-0.0248148,7.10198e-05
-0.0329236,-0.000630254
-0.0389308,-0.00036805
-0.0433536,-0.00052029
-0.0465675,-0.000279389
-0.0488565,-0.000217539
-0.050364,-0.000417448
-0.0513837,-0.000208172
-0.0520178,-0.000135541
-0.0523488,5.78242e-05
-0.0524448,0.000166941
-0.0523595,0.000293902
-0.0521359,0.000364598
-0.0518074,0.000431545
-0.0514011,0.000446078
-0.0509373,0.000455433
-0.0504321,0.000437456
-0.0498976,0.000413509
-0.0493435,0.00037709
-0.0487767,0.000338207
-0.0482027,0.000295534
-0.0476254,0.000253736
-0.0470478,0.000212732
-0.046472,0.000174576
-0.0458996,0.000139269
-0.0453316,0.000107551
-0.044769,7.92677e-05
-0.0442121,5.45232e-05
-0.0436613,3.3045e-05
-0.0431169,1.46619e-05
-0.0425789,-1.69668e-06
-0.0420476,-1.78458e-05
-0.0415228,-2.90935e-05
-0.0410044,-3.91325e-05
-0.0404926,-4.62364e-05
-0.0399871,-5.19563e-05
-0.0394881,-5.57603e-05
