position_error,angular_error
0.180956,-2.18445e-06
0.178699,-2.14119e-06
0.17647,-2.09867e-06
0.17427,-2.05686e-06
0.172096,-2.01576e-06
0.16995,-1.97534e-06
0.16783,-1.93561e-06
0.165737,-1.89654e-06
0.16367,-1.85812e-06
0.161629,-1.82036e-06
0.159613,-1.78324e-06
0.157622,-1.74676e-06
0.155656,-1.7109e-06
0.153715,-1.67567e-06
0.151798,-1.64105e-06
0.149904,-1.60705e-06
0.148035,-1.57365e-06
0.146189,-1.54085e-06
0.144365,-1.50864e-06
0.142565,-1.47702e-06
0.140787,-1.44598e-06
0.139031,-1.41552e-06
0.137297,-1.38563e-06
0.135584,-1.35631e-06
0.133893,-1.32754e-06
0.132223,-1.29932e-06
0.130574,-1.27153e-06
0.128946,-1.2442e-06
0.127338,-1.21729e-06
