position_error,angular_error
1.80525,0.000122815
1.79155,0.000122863
1.77789,0.000122784
1.76425,0.00012258
1.75064,0.000122252
1.73706,0.000121801
1.7235,0.000121227
1.70997,0.000120532
1.69647,0.000119717
1.683,0.000118783
1.66955,0.00011773
1.65613,0.000116561
1.64274,0.000115275
1.62937,0.000113875
1.61603,0.000112361
1.60272,0.000110734
1.58943,0.000108997
1.57617,0.000107148
1.56294,0.000105191
1.54974,0.000103126
1.53656,0.000100954
1.5234,9.86757e-05
1.51028,9.62933e-05
1.49718,9.38074e-05
1.4841,9.12192e-05
1.47106,8.85299e-05
1.45804,8.57404e-05
1.44504,8.2852e-05
1.43207,7.98658e-05
1.41913,7.67828e-05
1.40621,7.36041e-05
1.39332,7.03308e-05
1.38046,6.69639e-05
1.36762,6.35046e-05
1.35481,5.99539e-05
1.34202,5.63128e-05
1.32926,5.25823e-05
1.31652,4.87635e-05
1.30381,4.48573e-05
1.29113,4.087e-05
1.27847,3.74995e-05
1.26584,3.42352e-05
1.25323,3.1371e-05
1.24065,2.86717e-05
1.22809,2.62563e-05
1.21556,2.40121e-05
1.20305,2.1983e-05
1.19057,2.01117e-05
1.17811,1.84103e-05
1.16568,1.68474e-05
1.15328,1.54222e-05
1.14089,1.41155e-05
1.12854,1.29221e-05
1.11621,1.18291e-05
1.1039,1.083e-05
1.09162,9.91526e-06
1.07936,9.07873e-06
1.06713,8.31305e-06
1.05492,7.61259e-06
1.04274,6.97149e-06
1.03058,6.38488e-06
1.01844,5.84797e-06
1.00633,5.35661e-06
0.994246,4.90687e-06
0.982199,4.49554e-06
0.970217,4.11896e-06
0.95832,3.77387e-06
0.946522,3.4578e-06
0.934834,3.16818e-06
0.923264,2.90286e-06
0.911816,2.65974e-06
0.900495,2.43701e-06
0.889303,2.23291e-06
0.87824,2.04592e-06
0.867309,1.87458e-06
0.856509,1.71759e-06
0.845839,1.57374e-06
0.835299,1.44194e-06
0.824888,1.32117e-06
0.814605,1.21052e-06
0.804449,1.10914e-06
0.794419,1.01624e-06
0.784513,9.31121e-07
0.77473,8.53131e-07
0.765069,7.81671e-07
0.755527,7.16196e-07
0.746105,6.56204e-07
0.7368,6.01235e-07
0.72761,5.50869e-07
0.718535,5.04722e-07
0.709574,4.62439e-07
0.700724,4.23698e-07
0.691984,3.882e-07
0.683353,3.55676e-07
0.67483,3.25876e-07
0.666413,2.98571e-07
0.658102,2.73553e-07
0.649893,2.5063e-07
0.641787,2.29627e-07
0.633783,2.10384e-07
0.625878,1.92751e-07
0.618072,1.76596e-07
0.610363,1.61794e-07
0.60275,1.48232e-07
0.595232,1.35806e-07
0.587808,1.2442e-07
0.580476,1.13989e-07
0.573236,1.04431e-07
0.566087,9.56734e-08
0.559026,8.76497e-08
0.552054,8.02983e-08
0.545168,7.35626e-08
0.538368,6.73913e-08
0.531654,6.1737e-08
0.525022,5.65565e-08
0.518474,5.18099e-08
0.512007,4.74612e-08
0.505621,4.34769e-08
0.499315,3.98267e-08
0.493087,3.64823e-08
0.486937,3.34182e-08
0.480864,3.06109e-08
0.474866,2.80389e-08
0.468943,2.56824e-08
0.463094,2.35235e-08
0.457318,2.15456e-08
0.451614,1.97335e-08
0.445982,1.80733e-08
0.440419,1.65523e-08
0.434926,1.51589e-08
0.429501,1.38823e-08
0.424144,1.27128e-08
0.418854,1.16414e-08
0.41363,1.06599e-08
0.408471,9.76071e-09
0.403376,8.937e-09
0.398345,8.18242e-09
0.393377,7.49118e-09
0.38847,6.85796e-09
0.383625,6.27791e-09
0.37884,5.74658e-09
0.374115,5.25987e-09
0.369449,4.81406e-09
0.364841,4.40571e-09
0.36029,4.03168e-09
0.355797,3.68909e-09
0.351359,3.37532e-09
0.346977,3.08794e-09
0.342649,2.82473e-09
0.338375,2.58368e-09
0.334155,2.36292e-09
