x,y,theta,v
2.6078,6.75035,-1.14721,0.473662
2.61751,6.7288,-1.14722,0.472709
2.62721,6.7073,-1.14723,0.471758
2.63688,6.68584,-1.14724,0.470809
2.64654,6.66442,-1.14725,0.469861
2.65617,6.64305,-1.14726,0.468916
2.66579,6.62172,-1.14726,0.467973
2.67539,6.60043,-1.14727,0.467031
2.68497,6.57918,-1.14727,0.466091
2.69452,6.55798,-1.14728,0.465153
2.70406,6.53682,-1.14728,0.464217
2.71358,6.5157,-1.14729,0.463283
2.72308,6.49463,-1.14729,0.462351
2.73256,6.47359,-1.1473,0.461421
2.74203,6.4526,-1.1473,0.460492
2.75147,6.43165,-1.1473,0.459566
2.76089,6.41075,-1.1473,0.458641
2.7703,6.38988,-1.14731,0.457718
2.77968,6.36906,-1.14731,0.456797
2.78905,6.34828,-1.14731,0.455878
2.7984,6.32754,-1.14731,0.454961
2.80773,6.30685,-1.14731,0.454045
2.81704,6.28619,-1.14732,0.453132
2.82633,6.26558,-1.14732,0.45222
2.8356,6.245,-1.14732,0.45131
2.84486,6.22447,-1.14732,0.450402
2.85409,6.20398,-1.14732,0.449495
2.86331,6.18354,-1.14731,0.44859
2.87251,6.16313,-1.14731,0.447686
2.88169,6.14276,-1.1473,0.446785
2.89085,6.12244,-1.14729,0.445885
2.89999,6.10216,-1.14728,0.444987
